DESCRIPCION,UND,PU+ITBIS,PU SIN ITBIS,RENDIMIENTOS-OBS.,SUPLIDOR RECOMENDADO
CEMENTOS,,,,,
Cal Grande hidratada 20 kilos,FDA,RD$367.00,RD$311.02,,MINIBANNER CON LINK
Cemento Blanco Titan 40 kilos,FDA,RD$800.00,RD$677.97,,MINIBANNER CON LINK
Cemento Gris 94 lbs. Tipo Portland,FDA,RD$398.00,RD$337.29,,MINIBANNER CON LINK
Mortero para bloques Pega Bloques Antillana 94 lbs. ,FDA,RD$281.00,RD$238.14,,MINIBANNER CON LINK
Mortero para empañetes Mezcla Antillana 94 lbs. ,FDA,RD$292.00,RD$247.46,,MINIBANNER CON LINK
Mortero para cerámicas PegaTod 50 Lbs.,FDA,RD$258.00,RD$218.64,7-8 M2 por funda,MINIBANNER CON LINK
Mortero para cerámicas PegaTod Blanco 50 Lbs.,FDA,RD$498.00,RD$422.03,,MINIBANNER CON LINK
Yeso Escayola E-30 55 Lbs.,FDA,RD$265.00,RD$224.58,,MINIBANNER CON LINK
,,,,,
AGREGADOS,,,,,
Arena gruesa Itabo lavada,M3,"RD$1,385.00","RD$1,173.73",,Praintex - Agregados y Botes
Arena Itabo de mina,M3,RD$900.00,RD$762.71,,Praintex - Agregados y Botes
Arena Fina Pañete azul,M3,"RD$1,600.00","RD$1,355.93",,Praintex - Agregados y Botes
Arena triturada lavada azul,M3,"RD$1,700.00","RD$1,440.68",,Praintex - Agregados y Botes
"Grava de 3/4""",M3,"RD$1,075.00",RD$911.02,,Praintex - Agregados y Botes
"Grava de 1/2""",M3,"RD$1,075.00",RD$911.02,,Praintex - Agregados y Botes
"Grava de 3/8""",M4,"RD$1,000.00",RD$847.46,,
Caliche,M3,RD$350.00,RD$296.61,,Praintex - Agregados y Botes
Granzote grueso,M3,RD$475.00,RD$402.54,,Praintex - Agregados y Botes
Granzote fino o gravillita,M3,RD$600.00,RD$508.47,,Praintex - Agregados y Botes
Cascajo de mina (en mina),M3,RD$750.00,RD$635.59,,Praintex - Agregados y Botes
Material de base triturado (en mina),M3,RD$850.00,RD$720.34,,Praintex - Agregados y Botes
Piedra para muro de gaviones (en mina),M3,RD$900.00,RD$762.71,,Praintex - Agregados y Botes
Tierra Negra,M3,RD$950.00,RD$805.08,,Praintex - Agregados y Botes
Agua para hormigones y morteros,GL,RD$1.25,RD$1.25,,MINIBANNER CON LINK
"Camión de agua 1,200GLS",UND,"RD$2,000.00","RD$2,000.00",,MINIBANNER CON LINK
